Broker    Stock          Value     Changes   Date and Time
Broker 1        Technology      177             6               9/6/2022 3:40:46 PM
Broker 2        Technology      177             6               9/6/2022 3:40:46 PM
Broker 3        Technology      177             6               9/6/2022 3:40:46 PM
Broker 4        Technology      177             6               9/6/2022 3:40:46 PM
Broker 2        Commodity       567             6               9/6/2022 3:40:46 PM
Broker 4        Commodity       567             6               9/6/2022 3:40:46 PM
Broker 2        Banking         103             6               9/6/2022 3:40:46 PM
Broker 3        Banking         103             6               9/6/2022 3:40:46 PM
Broker 4        Banking         103             6               9/6/2022 3:40:46 PM
Broker 1        Retail          37              7               9/6/2022 3:40:46 PM
Broker 4        Retail          37              7               9/6/2022 3:40:46 PM
Broker 1        Technology      179             7               9/6/2022 3:40:46 PM
Broker 2        Technology      179             7               9/6/2022 3:40:46 PM
Broker 3        Technology      179             7               9/6/2022 3:40:46 PM
Broker 4        Technology      179             7               9/6/2022 3:40:46 PM
Broker 2        Banking         105             7               9/6/2022 3:40:46 PM
Broker 3        Banking         105             7               9/6/2022 3:40:46 PM
Broker 4        Banking         105             7               9/6/2022 3:40:46 PM
Broker 2        Commodity       577             7               9/6/2022 3:40:46 PM
Broker 4        Commodity       577             7               9/6/2022 3:40:46 PM
Broker 1        Retail          38              8               9/6/2022 3:40:47 PM
Broker 4        Retail          38              8               9/6/2022 3:40:47 PM
Broker 1        Technology      180             8               9/6/2022 3:40:47 PM
Broker 2        Technology      180             8               9/6/2022 3:40:47 PM
Broker 3        Technology      180             8               9/6/2022 3:40:47 PM
Broker 4        Technology      180             8               9/6/2022 3:40:47 PM
Broker 2        Commodity       594             8               9/6/2022 3:40:47 PM
Broker 2        Banking         108             8               9/6/2022 3:40:47 PM
Broker 3        Banking         108             8               9/6/2022 3:40:47 PM
Broker 4        Banking         108             8               9/6/2022 3:40:47 PM
Broker 4        Commodity       594             8               9/6/2022 3:40:47 PM
Broker 1        Retail          39              9               9/6/2022 3:40:47 PM
Broker 4        Retail          39              9               9/6/2022 3:40:47 PM
Broker 1        Technology      181             9               9/6/2022 3:40:47 PM
Broker 2        Technology      181             9               9/6/2022 3:40:47 PM
Broker 3        Technology      181             9               9/6/2022 3:40:47 PM
Broker 4        Technology      181             9               9/6/2022 3:40:47 PM
Broker 2        Banking         110             9               9/6/2022 3:40:47 PM
Broker 3        Banking         110             9               9/6/2022 3:40:47 PM
Broker 4        Banking         110             9               9/6/2022 3:40:47 PM
Broker 2        Commodity       610             9               9/6/2022 3:40:47 PM
Broker 4        Commodity       610             9               9/6/2022 3:40:47 PM
Broker 1        Retail          40              10              9/6/2022 3:40:48 PM
Broker 4        Retail          40              10              9/6/2022 3:40:48 PM
Broker 1        Technology      182             10              9/6/2022 3:40:48 PM
Broker 2        Technology      182             10              9/6/2022 3:40:48 PM
Broker 3        Technology      182             10              9/6/2022 3:40:48 PM
Broker 4        Technology      182             10              9/6/2022 3:40:48 PM
Broker 2        Banking         113             10              9/6/2022 3:40:48 PM
Broker 3        Banking         113             10              9/6/2022 3:40:48 PM
Broker 4        Banking         113             10              9/6/2022 3:40:48 PM
Broker 2        Commodity       615             10              9/6/2022 3:40:48 PM
Broker 4        Commodity       615             10              9/6/2022 3:40:48 PM
Broker 1        Retail          41              11              9/6/2022 3:40:48 PM
Broker 4        Retail          41              11              9/6/2022 3:40:48 PM
Broker 1        Technology      183             11              9/6/2022 3:40:48 PM
Broker 2        Technology      183             11              9/6/2022 3:40:48 PM
Broker 3        Technology      183             11              9/6/2022 3:40:48 PM
Broker 4        Technology      183             11              9/6/2022 3:40:48 PM
Broker 2        Banking         115             11              9/6/2022 3:40:48 PM
Broker 3        Banking         115             11              9/6/2022 3:40:48 PM
Broker 4        Banking         115             11              9/6/2022 3:40:48 PM
Broker 2        Commodity       624             11              9/6/2022 3:40:48 PM
Broker 4        Commodity       624             11              9/6/2022 3:40:48 PM
Broker 1        Retail          42              12              9/6/2022 3:40:49 PM
Broker 4        Retail          42              12              9/6/2022 3:40:49 PM
Broker 1        Technology      185             12              9/6/2022 3:40:49 PM
Broker 2        Technology      185             12              9/6/2022 3:40:49 PM
Broker 3        Technology      185             12              9/6/2022 3:40:49 PM
Broker 4        Technology      185             12              9/6/2022 3:40:49 PM
Broker 2        Commodity       641             12              9/6/2022 3:40:49 PM
Broker 4        Commodity       641             12              9/6/2022 3:40:49 PM
Broker 2        Banking         118             12              9/6/2022 3:40:49 PM
Broker 3        Banking         118             12              9/6/2022 3:40:49 PM
Broker 4        Banking         118             12              9/6/2022 3:40:49 PM
Broker 1        Retail          43              13              9/6/2022 3:40:49 PM
Broker 4        Retail          43              13              9/6/2022 3:40:49 PM
Broker 1        Technology      186             13              9/6/2022 3:40:49 PM
Broker 2        Technology      186             13              9/6/2022 3:40:49 PM
Broker 3        Technology      186             13              9/6/2022 3:40:49 PM
Broker 4        Technology      186             13              9/6/2022 3:40:49 PM
Broker 2        Banking         120             13              9/6/2022 3:40:50 PM
Broker 3        Banking         120             13              9/6/2022 3:40:50 PM
Broker 4        Banking         120             13              9/6/2022 3:40:50 PM
Broker 2        Commodity       650             13              9/6/2022 3:40:50 PM
Broker 4        Commodity       650             13              9/6/2022 3:40:50 PM
Broker 1        Retail          44              14              9/6/2022 3:40:50 PM
Broker 4        Retail          44              14              9/6/2022 3:40:50 PM
Broker 1        Technology      189             14              9/6/2022 3:40:50 PM
Broker 2        Technology      189             14              9/6/2022 3:40:50 PM
Broker 3        Technology      189             14              9/6/2022 3:40:50 PM
Broker 4        Technology      189             14              9/6/2022 3:40:50 PM
Broker 2        Banking         122             14              9/6/2022 3:40:50 PM
Broker 3        Banking         122             14              9/6/2022 3:40:50 PM
Broker 4        Banking         122             14              9/6/2022 3:40:50 PM
Broker 2        Commodity       660             14              9/6/2022 3:40:50 PM
Broker 4        Commodity       660             14              9/6/2022 3:40:50 PM
Broker 2        Commodity       559             5               9/12/2022 5:43:39 PM
Broker 4        Commodity       559             5               9/12/2022 5:43:39 PM
Broker 2        Banking         101             5               9/12/2022 5:43:39 PM
Broker 3        Banking         101             5               9/12/2022 5:43:39 PM
Broker 4        Banking         101             5               9/12/2022 5:43:39 PM
Broker 2        Banking         104             6               9/12/2022 5:43:40 PM
Broker 3        Banking         104             6               9/12/2022 5:43:40 PM
Broker 4        Banking         104             6               9/12/2022 5:43:40 PM
Broker 2        Commodity       574             6               9/12/2022 5:43:40 PM
Broker 4        Commodity       574             6               9/12/2022 5:43:40 PM
Broker 1        Technology      178             7               9/12/2022 5:43:40 PM
Broker 2        Technology      178             7               9/12/2022 5:43:40 PM
Broker 3        Technology      178             7               9/12/2022 5:43:40 PM
Broker 4        Technology      178             7               9/12/2022 5:43:40 PM
Broker 1        Retail          37              7               9/12/2022 5:43:40 PM
Broker 4        Retail          37              7               9/12/2022 5:43:40 PM
Broker 2        Banking         107             7               9/12/2022 5:43:40 PM
Broker 3        Banking         107             7               9/12/2022 5:43:40 PM
Broker 4        Banking         107             7               9/12/2022 5:43:40 PM
Broker 2        Commodity       590             7               9/12/2022 5:43:40 PM
Broker 4        Commodity       590             7               9/12/2022 5:43:40 PM
Broker 1        Retail          38              8               9/12/2022 5:43:41 PM
Broker 4        Retail          38              8               9/12/2022 5:43:41 PM
Broker 1        Technology      179             8               9/12/2022 5:43:41 PM
Broker 2        Technology      179             8               9/12/2022 5:43:41 PM
Broker 3        Technology      179             8               9/12/2022 5:43:41 PM
Broker 4        Technology      179             8               9/12/2022 5:43:41 PM
Broker 2        Banking         109             8               9/12/2022 5:43:41 PM
Broker 3        Banking         109             8               9/12/2022 5:43:41 PM
Broker 4        Banking         109             8               9/12/2022 5:43:41 PM
Broker 2        Commodity       604             8               9/12/2022 5:43:41 PM
Broker 4        Commodity       604             8               9/12/2022 5:43:41 PM
Broker 1        Retail          39              9               9/12/2022 5:43:41 PM
Broker 4        Retail          39              9               9/12/2022 5:43:41 PM
Broker 2        Banking         112             9               9/12/2022 5:43:41 PM
Broker 3        Banking         112             9               9/12/2022 5:43:41 PM
Broker 4        Banking         112             9               9/12/2022 5:43:42 PM
Broker 1        Technology      183             9               9/12/2022 5:43:42 PM
Broker 2        Technology      183             9               9/12/2022 5:43:42 PM
Broker 3        Technology      183             9               9/12/2022 5:43:42 PM
Broker 4        Technology      183             9               9/12/2022 5:43:42 PM
Broker 2        Commodity       619             9               9/12/2022 5:43:42 PM
Broker 4        Commodity       619             9               9/12/2022 5:43:42 PM
Broker 1        Retail          40              10              9/12/2022 5:43:42 PM
Broker 4        Retail          40              10              9/12/2022 5:43:42 PM
Broker 1        Technology      187             10              9/12/2022 5:43:42 PM
Broker 2        Technology      187             10              9/12/2022 5:43:42 PM
Broker 3        Technology      187             10              9/12/2022 5:43:42 PM
Broker 4        Technology      187             10              9/12/2022 5:43:42 PM
Broker 2        Banking         115             10              9/12/2022 5:43:42 PM
Broker 3        Banking         115             10              9/12/2022 5:43:42 PM
Broker 4        Banking         115             10              9/12/2022 5:43:42 PM
Broker 2        Commodity       626             10              9/12/2022 5:43:42 PM
Broker 4        Commodity       626             10              9/12/2022 5:43:42 PM
Broker 1        Retail          41              11              9/12/2022 5:43:42 PM
Broker 4        Retail          41              11              9/12/2022 5:43:43 PM
Broker 2        Commodity       634             11              9/12/2022 5:43:43 PM
Broker 4        Commodity       634             11              9/12/2022 5:43:43 PM
Broker 2        Banking         117             11              9/12/2022 5:43:43 PM
Broker 3        Banking         117             11              9/12/2022 5:43:43 PM
Broker 4        Banking         117             11              9/12/2022 5:43:43 PM
Broker 1        Technology      189             11              9/12/2022 5:43:43 PM
Broker 2        Technology      189             11              9/12/2022 5:43:43 PM
Broker 3        Technology      189             11              9/12/2022 5:43:43 PM
Broker 4        Technology      189             11              9/12/2022 5:43:43 PM
Broker 1        Retail          42              12              9/12/2022 5:43:43 PM
Broker 4        Retail          42              12              9/12/2022 5:43:43 PM
Broker 2        Commodity       646             12              9/12/2022 5:43:43 PM
Broker 4        Commodity       646             12              9/12/2022 5:43:43 PM
Broker 2        Banking         120             12              9/12/2022 5:43:43 PM
Broker 3        Banking         120             12              9/12/2022 5:43:43 PM
Broker 4        Banking         120             12              9/12/2022 5:43:43 PM
Broker 1        Technology      191             12              9/12/2022 5:43:43 PM
Broker 2        Technology      191             12              9/12/2022 5:43:43 PM
Broker 3        Technology      191             12              9/12/2022 5:43:43 PM
Broker 4        Technology      191             12              9/12/2022 5:43:43 PM
Broker 1        Retail          43              13              9/12/2022 5:43:44 PM
Broker 4        Retail          43              13              9/12/2022 5:43:44 PM
Broker 2        Commodity       650             13              9/12/2022 5:43:44 PM
Broker 4        Commodity       650             13              9/12/2022 5:43:44 PM
Broker 2        Banking         122             13              9/12/2022 5:43:44 PM
Broker 3        Banking         122             13              9/12/2022 5:43:44 PM
Broker 4        Banking         122             13              9/12/2022 5:43:44 PM
Broker 1        Technology      194             13              9/12/2022 5:43:44 PM
Broker 2        Technology      194             13              9/12/2022 5:43:44 PM
Broker 3        Technology      194             13              9/12/2022 5:43:44 PM
Broker 4        Technology      194             13              9/12/2022 5:43:44 PM
Broker 1        Retail          44              14              9/12/2022 5:43:44 PM
Broker 4        Retail          44              14              9/12/2022 5:43:44 PM
Broker 2        Commodity       665             14              9/12/2022 5:43:44 PM
Broker 4        Commodity       665             14              9/12/2022 5:43:44 PM
Broker 2        Banking         125             14              9/12/2022 5:43:44 PM
Broker 3        Banking         125             14              9/12/2022 5:43:44 PM
Broker 4        Banking         125             14              9/12/2022 5:43:44 PM
Broker 1        Technology      195             14              9/12/2022 5:43:44 PM
Broker 2        Technology      195             14              9/12/2022 5:43:44 PM
Broker 3        Technology      195             14              9/12/2022 5:43:44 PM
Broker 4        Technology      195             14              9/12/2022 5:43:44 PM
Broker 1        Retail          45              15              9/12/2022 5:43:45 PM
Broker 4        Retail          45              15              9/12/2022 5:43:45 PM
